variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-cid,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-disjoint-same-file,agr-benchmark,compose-disjoint,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-disjoint-same-file,agr-benchmark,compose-disjoint,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-shared-surface,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-rw-dependency,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-virtual-atom,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-conflict-key,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-cas,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-fallback-lock,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,agrOff,block,block,false,false,true,true,true,true
no-cid,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
