scenarioId,pack,mode,composeVerdict,brokerVerdict,conflictVerdict,validatorOutcome,safeToParallelize,validatorShouldCatch,matchedExpectation,falseSafeRegression
compose-disjoint-same-file,agr-benchmark,agrOff,parallel-safe,,,pass,true,false,true,false
compose-disjoint-same-file,agr-benchmark,layer1,parallel-safe,,,pass,true,false,true,false
compose-disjoint-same-file,agr-benchmark,layer2Adr,parallel-safe,,,pass,true,false,true,false
compose-same-atom-cid-blocked,agr-benchmark,agrOff,blocked-cid-conflict,,,pass,true,false,true,false
compose-same-atom-cid-blocked,agr-benchmark,layer1,parallel-safe,,,pass,true,false,true,false
compose-same-atom-cid-blocked,agr-benchmark,layer2Adr,parallel-safe,,,pass,true,false,true,false
compose-same-atom-cid-unresolvable,agr-benchmark,agrOff,blocked-cid-conflict,,,pass,false,false,true,false
compose-same-atom-cid-unresolvable,agr-benchmark,layer1,blocked-cid-conflict,,,pass,false,false,true,false
compose-same-atom-cid-unresolvable,agr-benchmark,layer2Adr,blocked-cid-conflict,,,pass,false,false,true,false
compose-overlapping-hunks,agr-benchmark,agrOff,needs-steward,,,pass,false,false,true,false
compose-overlapping-hunks,agr-benchmark,layer1,needs-steward,,,pass,false,false,true,false
compose-overlapping-hunks,agr-benchmark,layer2Adr,needs-steward,,,pass,false,false,true,false
registry-cid-disjoint-file-overlap,agr-benchmark,agrOff,,needs-physical-split,,pass,true,false,true,false
registry-cid-disjoint-file-overlap,agr-benchmark,layer1,,needs-physical-split,,pass,true,false,true,false
registry-cid-disjoint-file-overlap,agr-benchmark,layer2Adr,,needs-physical-split,,pass,true,false,true,false
registry-shared-surface-blocked,agr-benchmark,agrOff,,blocked-shared-surface,,pass,false,false,true,false
registry-shared-surface-blocked,agr-benchmark,layer1,,blocked-shared-surface,,pass,false,false,true,false
registry-shared-surface-blocked,agr-benchmark,layer2Adr,,blocked-shared-surface,,pass,false,false,true,false
registry-read-write-dependency,agr-benchmark,agrOff,,parallel-safe,,pass,false,false,true,false
registry-read-write-dependency,agr-benchmark,layer1,,parallel-safe,,pass,false,false,true,false
registry-read-write-dependency,agr-benchmark,layer2Adr,,serial,,pass,false,false,true,false
registry-parallel-safe-clean,agr-benchmark,agrOff,,parallel-safe,,pass,true,false,true,false
registry-parallel-safe-clean,agr-benchmark,layer1,,parallel-safe,,pass,true,false,true,false
registry-parallel-safe-clean,agr-benchmark,layer2Adr,,parallel-safe,,pass,true,false,true,false
compose-shared-validator-surface,agr-benchmark,agrOff,parallel-safe,,,pass,true,false,true,false
compose-shared-validator-surface,agr-benchmark,layer1,parallel-safe,,,pass,true,false,true,false
compose-shared-validator-surface,agr-benchmark,layer2Adr,parallel-safe,,,pass,true,false,true,false
validator-catch-typecheck-failure,agr-benchmark,agrOff,parallel-safe,,,fail,false,true,true,false
validator-catch-typecheck-failure,agr-benchmark,layer2Adr,parallel-safe,,,fail,false,true,true,false
layer1-no-refinement-available,agr-benchmark,agrOff,blocked-cid-conflict,,,pass,false,false,true,false
layer1-no-refinement-available,agr-benchmark,layer1,blocked-cid-conflict,,,pass,false,false,true,false
layer2-threshold-not-met,agr-benchmark,agrOff,blocked-cid-conflict,,,pass,false,false,true,false
layer2-threshold-not-met,agr-benchmark,layer1,blocked-cid-conflict,,,pass,false,false,true,false
layer2-threshold-not-met,agr-benchmark,layer2Adr,blocked-cid-conflict,,,pass,false,false,true,false
parallel-safe-disjoint,agr-conflict-benchmark,conflict,,,allow-parallel,pass,true,false,true,false
read-write-dependency-freeze,agr-conflict-benchmark,conflict,,,allow-with-watch,fail,false,true,true,false
capsule-cid-drift-freeze,agr-conflict-benchmark,conflict,,,freeze,pass,false,true,true,false
shared-surface-blocked,agr-conflict-benchmark,conflict,,,freeze,pass,false,true,true,false
cid-conflict-blocked,agr-conflict-benchmark,conflict,,,freeze,pass,false,true,true,false
physical-overlap-steward,agr-conflict-benchmark,conflict,,,freeze,pass,false,true,true,false
orphan-lock-cleanup,agr-conflict-benchmark,conflict,,,orphan-cleanup-recover,pass,false,true,true,false
manual-override-collision,agr-conflict-benchmark,conflict,,,deny-and-reroute,pass,false,true,true,false
